C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,label
1,19,4,2,8392,1,2,4,2,1,4,2,20,3,1,1,3,2,1,2,1
1,10,4,0,22392,1,3,2,3,1,2,1,35,3,1,2,3,1,1,2,1
2,13,2,9,6728,2,4,2,2,1,4,1,22,3,1,1,2,2,1,2,1
1,13,4,0,16976,1,3,3,3,1,2,1,38,3,1,2,2,1,1,1,1
1,13,4,0,17368,1,3,4,3,1,4,2,37,1,2,2,2,2,1,1,1
1,7,4,0,10888,1,2,2,3,1,4,1,39,3,2,1,2,1,1,1,1
4,19,4,3,8784,1,1,4,2,1,4,3,64,3,2,2,1,2,1,2,1
2,25,2,3,30064,3,1,1,2,1,4,4,22,3,1,1,1,2,1,2,1
1,12,4,0,31240,1,3,2,3,1,2,1,35,3,1,2,3,1,1,2,1
1,7,4,3,15656,1,4,1,2,1,4,3,30,3,2,1,3,2,1,2,1
2,49,3,10,60656,2,1,2,3,1,4,4,30,3,2,1,4,2,2,2,1
1,19,2,3,15488,5,4,2,4,1,4,3,22,3,1,2,2,2,1,2,1
1,7,2,3,21176,3,3,2,3,1,3,1,43,3,1,1,3,1,1,2,1
1,12,4,0,31512,1,3,1,3,1,2,1,39,3,2,2,2,1,1,2,1
2,19,2,3,25704,3,2,1,4,1,3,1,24,3,1,1,3,2,1,2,1
4,12,4,0,57824,1,3,1,3,1,4,2,38,3,2,2,2,2,1,2,1
1,7,4,0,29408,1,3,1,3,1,3,1,36,3,1,3,3,1,1,2,1
1,7,4,0,37728,5,2,1,3,1,3,1,43,3,2,2,2,1,1,2,1
2,12,3,3,38168,1,4,2,3,1,4,2,50,3,2,1,3,2,1,2,1
1,13,2,2,5216,1,5,4,2,1,4,2,23,3,1,1,3,2,1,2,1
2,10,4,3,9232,1,5,2,3,1,4,1,36,3,2,3,2,2,1,2,1
4,16,2,0,28448,5,3,3,3,1,2,4,28,3,2,1,3,2,1,2,1
3,43,4,1,38368,1,5,4,3,1,4,4,55,3,3,1,3,2,1,2,1
3,31,4,3,24136,1,5,4,3,1,4,2,46,3,2,1,3,2,1,2,1
4,37,4,0,52912,1,5,4,3,1,4,3,33,3,2,2,4,2,2,2,1
4,25,2,3,11008,3,4,4,2,1,1,3,27,3,2,1,3,2,1,2,1
1,16,2,0,13768,1,2,2,3,1,3,1,35,3,2,1,3,2,1,2,1
1,7,4,0,6880,1,5,1,2,1,4,4,38,3,2,2,3,2,2,2,1
4,13,4,0,11960,1,5,4,3,1,1,1,37,3,2,2,2,1,1,2,1
4,13,4,3,15472,1,5,2,3,1,2,4,25,3,2,2,3,2,1,2,1
4,25,4,1,30944,1,5,4,2,1,2,3,40,3,1,2,4,2,2,2,1
4,13,4,5,7968,5,4,4,2,1,4,1,22,3,2,2,3,2,1,2,1
1,25,2,10,14040,1,5,4,2,3,4,1,57,3,2,1,2,2,2,2,1
4,19,4,0,8224,1,3,4,2,1,3,1,35,3,2,2,3,2,1,2,1
2,25,4,9,22600,5,4,4,3,1,3,4,33,3,2,2,3,1,2,2,1
2,19,2,6,9912,5,3,4,3,1,4,4,60,3,3,1,3,2,1,2,1
1,19,2,0,9728,1,2,4,2,1,3,3,22,3,1,1,3,2,2,2,0
4,25,2,9,10064,1,4,4,3,1,1,1,24,3,2,1,3,2,2,2,1
4,19,4,6,14912,2,3,4,2,1,2,1,29,3,2,2,3,2,1,2,0
4,25,2,0,11792,2,2,4,4,1,3,1,32,3,2,1,3,2,2,2,1
1,25,4,9,11056,2,4,4,3,1,1,1,25,3,2,2,3,2,2,2,1
4,13,2,0,5120,1,3,4,1,1,2,1,48,3,2,1,2,2,1,2,1
3,37,2,3,31352,1,3,2,3,1,2,1,22,3,2,1,3,2,2,2,1
4,13,4,3,18648,5,5,1,3,2,4,1,48,3,2,1,3,2,2,2,1
1,13,4,3,3080,1,4,4,2,1,3,1,57,3,2,4,2,2,2,2,1
4,13,4,3,13240,1,5,2,3,1,4,1,62,3,2,2,2,2,2,2,1
4,22,2,3,25280,5,5,4,3,1,3,2,40,3,2,1,3,2,2,2,1
4,37,2,0,24632,5,3,4,3,1,4,1,35,3,2,1,3,2,1,2,1
4,13,4,0,9304,3,3,4,3,1,4,1,43,3,2,1,3,2,2,2,1
4,25,2,1,21432,1,2,4,2,1,1,4,28,3,2,1,4,2,2,2,1
4,49,4,3,28624,5,5,4,3,1,1,1,46,3,2,1,3,2,2,2,1
4,37,3,0,87000,1,5,2,3,1,2,3,44,3,2,2,3,1,2,2,1
1,13,3,0,10752,1,3,4,3,1,2,1,42,3,2,2,2,1,1,2,1
4,7,4,3,9896,2,3,1,2,1,1,2,26,3,2,2,3,2,1,2,1
4,13,2,3,24616,1,3,2,3,1,4,3,51,3,2,1,3,2,2,2,1
4,25,2,3,18272,1,4,4,3,1,2,3,27,3,2,1,3,2,2,2,1
2,13,2,3,12536,1,3,1,2,1,1,3,21,3,2,1,3,2,2,2,1
4,25,3,0,16256,1,5,4,3,1,4,4,59,3,3,2,3,2,2,2,1
4,37,2,3,18392,3,5,4,3,1,4,3,38,3,2,1,3,2,1,2,1
4,25,2,2,7432,5,4,4,3,1,2,3,30,2,2,1,3,2,2,2,1
3,13,2,3,27192,5,5,2,3,1,3,3,36,3,2,1,4,2,1,2,1
4,22,4,1,26200,1,5,1,3,1,4,3,35,3,2,1,4,2,2,2,1
4,25,4,0,15520,4,5,4,3,1,4,1,59,3,2,1,3,2,2,2,1
