C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,label
1,19,4,2,1,2,4,2,1,4,8392,2,20,3,1,1,3,2,1,2,1
1,10,4,0,1,3,2,3,1,2,22392,1,35,3,1,2,3,1,1,2,1
2,13,2,9,2,4,2,2,1,4,6728,1,22,3,1,1,2,2,1,2,1
1,13,4,0,1,3,3,3,1,2,16976,1,38,3,1,2,2,1,1,1,1
1,13,4,0,1,3,4,3,1,4,17368,2,37,1,2,2,2,2,1,1,1
1,7,4,0,1,2,2,3,1,4,10888,1,39,3,2,1,2,1,1,1,1
4,19,4,3,1,1,4,2,1,4,8784,3,64,3,2,2,1,2,1,2,1
2,25,2,3,3,1,1,2,1,4,30064,4,22,3,1,1,1,2,1,2,1
1,12,4,0,1,3,2,3,1,2,31240,1,35,3,1,2,3,1,1,2,1
1,7,4,3,1,4,1,2,1,4,15656,3,30,3,2,1,3,2,1,2,1
2,49,3,10,2,1,2,3,1,4,60656,4,30,3,2,1,4,2,2,2,1
1,19,2,3,5,4,2,4,1,4,15488,3,22,3,1,2,2,2,1,2,1
1,7,2,3,3,3,2,3,1,3,21176,1,43,3,1,1,3,1,1,2,1
1,12,4,0,1,3,1,3,1,2,31512,1,39,3,2,2,2,1,1,2,1
2,19,2,3,3,2,1,4,1,3,25704,1,24,3,1,1,3,2,1,2,1
4,12,4,0,1,3,1,3,1,4,57824,2,38,3,2,2,2,2,1,2,1
1,7,4,0,1,3,1,3,1,3,29408,1,36,3,1,3,3,1,1,2,1
1,7,4,0,5,2,1,3,1,3,37728,1,43,3,2,2,2,1,1,2,1
2,12,3,3,1,4,2,3,1,4,38168,2,50,3,2,1,3,2,1,2,1
1,13,2,2,1,5,4,2,1,4,5216,2,23,3,1,1,3,2,1,2,1
2,10,4,3,1,5,2,3,1,4,9232,1,36,3,2,3,2,2,1,2,1
4,16,2,0,5,3,3,3,1,2,28448,4,28,3,2,1,3,2,1,2,1
3,43,4,1,1,5,4,3,1,4,38368,4,55,3,3,1,3,2,1,2,1
